ExportID,InvoiceID,ExporterName,City,Port,DestinationCountry,ProductCategory,ProductSubcategory,HSCode,UnitPriceUSD,Quantity,UnitType,TotalValueUSD,ExportDate,ShipmentMode,ContainerNumber,PaymentTerm,TradeTerm,Currency
EXP-PK-200000,INV-PK-100000,Sindh Agro Exports,Karachi,Port Qasim,China,Sports Goods,Football,9506,12.49,4754,pcs,59377.46,2023-10-13,Land,,LC (Letter of Credit),FOB,USD
EXP-PK-200001,INV-PK-100001,Balochistan Spices Co.,Hyderabad,Port Qasim,USA,Textiles,Cotton Yarn,5205,6.07,299,bales,1814.93,2023-07-11,Sea,PK40495,LC (Letter of Credit),FOB,USD
EXP-PK-200002,INV-PK-100002,Northern Fruits Exports,Hyderabad,Port Qasim,China,Surgical,Surgical Instruments,9031,39.64,788,sets,31236.32,2024-07-23,Air,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200003,INV-PK-100003,Lahore Leatherworks,Multan,Multan Airport,UAE,Sports Goods,Football,9506,3.63,4332,pcs,15725.16,2024-11-20,Sea,PK22156,Cash Against Documents,FOB,USD
EXP-PK-200004,INV-PK-100004,Lahore Leatherworks,Gwadar,Gwadar Port,Bangladesh,Agriculture,Rice (Basmati),1006,2.0,14190,kg,28380.0,2023-03-30,Land,,Cash Against Documents,FOB,USD
EXP-PK-200005,INV-PK-100005,Gwadar Logistics Exports,Lahore,Inland (Landi Kotal),Afghanistan,Agriculture,Rice (Basmati),1006,0.55,19401,kg,10670.55,2025-01-10,Land,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200006,INV-PK-100006,PakTex Exporters Co.,Sialkot,Sialkot Airport,Saudi Arabia,Textiles,Bed Linen,6302,6.79,1069,pcs,7258.51,2024-04-21,Sea,PK59823,Open Account,CIF,USD
EXP-PK-200007,INV-PK-100007,Lahore Leatherworks,Faisalabad,Inland (Faisalabad Depot),Germany,Agriculture,Mangoes (fresh),0804,0.95,3749,kg,3561.55,2024-03-05,Land,,Open Account,FOB,USD
EXP-PK-200008,INV-PK-100008,Balochistan Spices Co.,Faisalabad,Inland (Faisalabad Depot),Afghanistan,Leather Goods,Footwear,6403,43.47,2628,pairs,114239.16,2024-05-16,Sea,PK70589,Cash Against Documents,CIF,USD
EXP-PK-200009,INV-PK-100009,Northern Fruits Exports,Sialkot,Sialkot Airport,Germany,Tobacco,Processed Tobacco,2403,2.44,5895,kg,14383.8,2023-04-25,Sea,PK14207,Open Account,CIF,USD
EXP-PK-200010,INV-PK-100010,Sialkot Sports Exports,Lahore,Inland (Landi Kotal),China,Chemicals,Industrial Chemicals,2815,18.67,2875,kg,53676.25,2024-10-06,Sea,PK95909,Cash Against Documents,CIF,USD
EXP-PK-200011,INV-PK-100011,Punjab Pharma Exports,Faisalabad,Inland (Faisalabad Depot),Saudi Arabia,Leather,Finished Leather,4107,18.15,183,sheets,3321.45,2024-05-20,Land,,Open Account,CIF,USD
EXP-PK-200012,INV-PK-100012,Balochistan Spices Co.,Hyderabad,Port Qasim,Germany,Sports Goods,Football,9506,14.77,3928,pcs,58016.56,2023-10-11,Land,,Cash Against Documents,FOB,USD
EXP-PK-200013,INV-PK-100013,PakTex Exporters Co.,Lahore,Inland (Landi Kotal),UAE,Carpets,Handmade Carpets,5701,139.85,2576,pcs,360253.6,2023-11-24,Land,,Cash Against Documents,FOB,USD
EXP-PK-200014,INV-PK-100014,Gwadar Logistics Exports,Hyderabad,Port Qasim,Bangladesh,Surgical,Surgical Instruments,9031,122.56,241,sets,29536.96,2024-05-29,Air,,LC (Letter of Credit),CIF,USD
EXP-PK-200015,INV-PK-100015,Lahore Leatherworks,Lahore,Inland (Landi Kotal),Saudi Arabia,Seafood,Shrimp (frozen),0306,8.47,3493,kg,29585.71,2023-11-20,Air,,LC (Letter of Credit),CIF,USD
EXP-PK-200016,INV-PK-100016,Northern Fruits Exports,Faisalabad,Inland (Faisalabad Depot),Afghanistan,Chemicals,Industrial Chemicals,2815,2.7,18982,kg,51251.4,2023-08-06,Land,,Open Account,FOB,USD
EXP-PK-200017,INV-PK-100017,Karachi Seafood Ltd.,Gwadar,Gwadar Port,UAE,Pharmaceuticals,Medicines (packaged),3004,24.18,4043,boxes,97759.74,2023-01-02,Land,,Open Account,CIF,USD
EXP-PK-200018,INV-PK-100018,PakTex Exporters Co.,Lahore,Inland (Landi Kotal),Germany,Chemicals,Industrial Chemicals,2815,9.69,2043,kg,19796.67,2024-09-21,Sea,PK17592,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200019,INV-PK-100019,Sindh Agro Exports,Peshawar,Torkham Border (land),UK,Industrial,Gloves (leather),4203,14.0,2206,pairs,30884.0,2023-09-15,Sea,PK96474,Cash Against Documents,FOB,USD
EXP-PK-200020,INV-PK-100020,Sialkot Sports Exports,Hyderabad,Port Qasim,China,Chemicals,Industrial Chemicals,2815,4.36,9954,kg,43399.44,2024-02-16,Land,,Open Account,CIF,USD
EXP-PK-200021,INV-PK-100021,Lahore Leatherworks,Peshawar,Torkham Border (land),Afghanistan,Surgical,Surgical Instruments,9031,16.53,4547,sets,75161.91,2023-09-05,Air,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200022,INV-PK-100022,Lahore Leatherworks,Karachi,Karachi Port,Bangladesh,Sports Goods,Football,9506,9.25,3315,pcs,30663.75,2023-01-15,Sea,PK92719,LC (Letter of Credit),FOB,USD
EXP-PK-200023,INV-PK-100023,Sindh Agro Exports,Karachi,Port Qasim,UK,Pharmaceuticals,Medicines (packaged),3004,8.48,2605,boxes,22090.4,2024-05-02,Air,,Cash Against Documents,FOB,USD
EXP-PK-200024,INV-PK-100024,Northern Fruits Exports,Faisalabad,Inland (Faisalabad Depot),Bangladesh,Spices,Chilies (dried),0904,3.73,3778,kg,14091.94,2025-08-26,Sea,PK71993,Cash Against Documents,FOB,USD
EXP-PK-200025,INV-PK-100025,Sindh Agro Exports,Lahore,Inland (Landi Kotal),Netherlands,Agriculture,Mangoes (fresh),0804,2.92,15525,kg,45333.0,2025-05-17,Air,,Cash Against Documents,FOB,USD
EXP-PK-200026,INV-PK-100026,Sindh Agro Exports,Karachi,Port Qasim,Germany,Industrial,Gloves (leather),4203,18.85,4475,pairs,84353.75,2023-08-12,Sea,PK35112,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200027,INV-PK-100027,Karachi Seafood Ltd.,Hyderabad,Port Qasim,UAE,Agriculture,Rice (Basmati),1006,1.99,18445,kg,36705.55,2025-08-05,Sea,PK19880,Cash Against Documents,FOB,USD
EXP-PK-200028,INV-PK-100028,PakTex Exporters Co.,Karachi,Karachi Port,China,Leather,Finished Leather,4107,8.98,98,sheets,880.04,2025-04-12,Air,,Cash Against Documents,FOB,USD
EXP-PK-200029,INV-PK-100029,Gwadar Logistics Exports,Karachi,Karachi Port,Netherlands,Textiles,Cotton Yarn,5205,1.13,163,bales,184.19,2025-03-10,Air,,Cash Against Documents,CIF,USD
EXP-PK-200030,INV-PK-100030,Gwadar Logistics Exports,Peshawar,Torkham Border (land),UAE,Sports Goods,Football,9506,12.88,1364,pcs,17568.32,2024-08-30,Sea,PK17665,LC (Letter of Credit),CIF,USD
EXP-PK-200031,INV-PK-100031,PakTex Exporters Co.,Karachi,Port Qasim,Afghanistan,Chemicals,Industrial Chemicals,2815,25.0,7199,kg,179975.0,2023-11-19,Sea,PK76562,LC (Letter of Credit),FOB,USD
EXP-PK-200032,INV-PK-100032,Sindh Agro Exports,Lahore,Inland (Landi Kotal),China,Seafood,Shrimp (frozen),0306,5.53,10899,kg,60271.47,2023-09-03,Land,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200033,INV-PK-100033,Balochistan Spices Co.,Lahore,Inland (Landi Kotal),Netherlands,Carpets,Handmade Carpets,5701,113.42,4012,pcs,455041.04,2024-10-09,Air,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200034,INV-PK-100034,Faisalabad Textiles,Multan,Multan Airport,Netherlands,Leather,Finished Leather,4107,8.35,493,sheets,4116.55,2024-09-06,Air,,Open Account,FOB,USD
EXP-PK-200035,INV-PK-100035,PakTex Exporters Co.,Peshawar,Torkham Border (land),Bangladesh,Spices,Chilies (dried),0904,4.86,4054,kg,19702.44,2023-07-24,Sea,PK80468,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200036,INV-PK-100036,Karachi Seafood Ltd.,Gwadar,Gwadar Port,UK,Chemicals,Industrial Chemicals,2815,0.96,16327,kg,15673.92,2024-05-15,Air,,Open Account,FOB,USD
EXP-PK-200037,INV-PK-100037,Punjab Pharma Exports,Multan,Multan Airport,Bangladesh,Industrial,Gloves (leather),4203,14.43,3647,pairs,52626.21,2023-01-17,Land,,Open Account,FOB,USD
EXP-PK-200038,INV-PK-100038,Karachi Seafood Ltd.,Multan,Multan Airport,UK,Chemicals,Industrial Chemicals,2815,23.32,1573,kg,36682.36,2023-08-08,Land,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200039,INV-PK-100039,Sialkot Sports Exports,Sialkot,Sialkot Airport,Germany,Sports Goods,Football,9506,12.04,588,pcs,7079.52,2024-06-24,Land,,Cash Against Documents,CIF,USD
EXP-PK-200040,INV-PK-100040,PakTex Exporters Co.,Lahore,Inland (Landi Kotal),Netherlands,Tobacco,Processed Tobacco,2403,4.38,12503,kg,54763.14,2024-07-20,Sea,PK10464,Open Account,FOB,USD
EXP-PK-200041,INV-PK-100041,Sialkot Sports Exports,Faisalabad,Inland (Faisalabad Depot),Italy,Pharmaceuticals,Medicines (packaged),3004,8.94,327,boxes,2923.38,2025-05-25,Land,,LC (Letter of Credit),FOB,USD
EXP-PK-200042,INV-PK-100042,Sindh Agro Exports,Faisalabad,Inland (Faisalabad Depot),Afghanistan,Textiles,Cotton Yarn,5205,3.04,163,bales,495.52,2025-01-26,Land,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200043,INV-PK-100043,Karachi Seafood Ltd.,Karachi,Port Qasim,Germany,Chemicals,Industrial Chemicals,2815,22.1,12787,kg,282592.7,2023-03-23,Air,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200044,INV-PK-100044,Sindh Agro Exports,Gwadar,Gwadar Port,Afghanistan,Chemicals,Industrial Chemicals,2815,26.71,9497,kg,253664.87,2025-04-12,Land,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200045,INV-PK-100045,Karachi Seafood Ltd.,Faisalabad,Inland (Faisalabad Depot),Netherlands,Textiles,Cotton Yarn,5205,1.66,356,bales,590.96,2024-01-03,Land,,Open Account,CIF,USD
EXP-PK-200046,INV-PK-100046,Faisalabad Textiles,Multan,Multan Airport,UAE,Industrial,Gloves (leather),4203,15.45,2810,pairs,43414.5,2023-08-10,Air,,LC (Letter of Credit),CIF,USD
EXP-PK-200047,INV-PK-100047,Faisalabad Textiles,Sialkot,Sialkot Airport,Italy,Agriculture,Mangoes (fresh),0804,2.43,9926,kg,24120.18,2024-09-17,Sea,PK39219,LC (Letter of Credit),FOB,USD
EXP-PK-200048,INV-PK-100048,Gwadar Logistics Exports,Gwadar,Gwadar Port,Saudi Arabia,Tobacco,Processed Tobacco,2403,2.85,8608,kg,24532.8,2023-05-23,Air,,Open Account,CIF,USD
EXP-PK-200049,INV-PK-100049,Northern Fruits Exports,Gwadar,Gwadar Port,USA,Textiles,Bed Linen,6302,0.98,548,pcs,537.04,2024-06-18,Sea,PK86099,Open Account,FOB,USD
EXP-PK-200050,INV-PK-100050,Sindh Agro Exports,Hyderabad,Port Qasim,Germany,Leather Goods,Footwear,6403,13.46,3185,pairs,42870.1,2024-10-04,Air,,LC (Letter of Credit),CIF,USD
EXP-PK-200051,INV-PK-100051,Balochistan Spices Co.,Sialkot,Sialkot Airport,Saudi Arabia,Textiles,Cotton Yarn,5205,3.06,254,bales,777.24,2025-06-12,Sea,PK78146,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200052,INV-PK-100052,Gwadar Logistics Exports,Lahore,Inland (Landi Kotal),Germany,Spices,Chilies (dried),0904,5.54,5060,kg,28032.4,2024-10-04,Land,,LC (Letter of Credit),CIF,USD
EXP-PK-200053,INV-PK-100053,Northern Fruits Exports,Multan,Multan Airport,Netherlands,Agriculture,Mangoes (fresh),0804,1.53,15135,kg,23156.55,2025-04-04,Land,,Open Account,FOB,USD
EXP-PK-200054,INV-PK-100054,Faisalabad Textiles,Hyderabad,Port Qasim,Netherlands,Carpets,Handmade Carpets,5701,152.96,394,pcs,60266.24,2023-12-23,Land,,Open Account,CIF,USD
EXP-PK-200055,INV-PK-100055,Northern Fruits Exports,Karachi,Port Qasim,Saudi Arabia,Sports Goods,Football,9506,10.11,814,pcs,8229.54,2025-05-30,Land,,Open Account,CIF,USD
EXP-PK-200056,INV-PK-100056,Punjab Pharma Exports,Peshawar,Torkham Border (land),China,Pharmaceuticals,Medicines (packaged),3004,23.31,4042,boxes,94219.02,2025-08-27,Land,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200057,INV-PK-100057,Sialkot Sports Exports,Gwadar,Gwadar Port,UK,Tobacco,Processed Tobacco,2403,3.35,17442,kg,58430.7,2024-04-26,Land,,Open Account,FOB,USD
EXP-PK-200058,INV-PK-100058,Faisalabad Textiles,Faisalabad,Inland (Faisalabad Depot),USA,Textiles,Cotton Yarn,5205,6.59,94,bales,619.46,2024-05-16,Air,,LC (Letter of Credit),CIF,USD
EXP-PK-200059,INV-PK-100059,Gwadar Logistics Exports,Sialkot,Sialkot Airport,Netherlands,Surgical,Surgical Instruments,9031,179.59,2701,sets,485072.59,2025-03-29,Air,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200060,INV-PK-100060,Sindh Agro Exports,Hyderabad,Port Qasim,China,Leather,Finished Leather,4107,41.33,448,sheets,18515.84,2025-08-09,Sea,PK83060,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200061,INV-PK-100061,Punjab Pharma Exports,Faisalabad,Inland (Faisalabad Depot),Italy,Carpets,Handmade Carpets,5701,193.1,559,pcs,107942.9,2024-10-11,Air,,Cash Against Documents,CIF,USD
EXP-PK-200062,INV-PK-100062,Karachi Seafood Ltd.,Peshawar,Torkham Border (land),Italy,Agriculture,Rice (Basmati),1006,1.07,8599,kg,9200.93,2024-05-21,Land,,Open Account,CIF,USD
EXP-PK-200063,INV-PK-100063,Faisalabad Textiles,Multan,Multan Airport,Italy,Textiles,Bed Linen,6302,6.69,4305,pcs,28800.45,2024-08-08,Sea,PK45614,Open Account,CIF,USD
EXP-PK-200064,INV-PK-100064,Northern Fruits Exports,Lahore,Inland (Landi Kotal),UAE,Leather,Finished Leather,4107,5.31,255,sheets,1354.05,2024-04-18,Air,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200065,INV-PK-100065,Sindh Agro Exports,Hyderabad,Port Qasim,Netherlands,Agriculture,Mangoes (fresh),0804,1.54,4519,kg,6959.26,2025-08-12,Air,,LC (Letter of Credit),FOB,USD
EXP-PK-200066,INV-PK-100066,Gwadar Logistics Exports,Hyderabad,Port Qasim,Bangladesh,Leather Goods,Footwear,6403,23.19,1694,pairs,39283.86,2023-02-10,Land,,Cash Against Documents,CIF,USD
EXP-PK-200067,INV-PK-100067,PakTex Exporters Co.,Gwadar,Gwadar Port,Saudi Arabia,Industrial,Gloves (leather),4203,18.92,1622,pairs,30688.24,2025-03-09,Air,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200068,INV-PK-100068,Faisalabad Textiles,Multan,Multan Airport,Netherlands,Surgical,Surgical Instruments,9031,108.57,3518,sets,381949.26,2023-03-01,Sea,PK54057,Cash Against Documents,FOB,USD
EXP-PK-200069,INV-PK-100069,Punjab Pharma Exports,Faisalabad,Inland (Faisalabad Depot),Bangladesh,Pharmaceuticals,Medicines (packaged),3004,9.73,4859,boxes,47278.07,2023-02-25,Air,,LC (Letter of Credit),FOB,USD
EXP-PK-200070,INV-PK-100070,Gwadar Logistics Exports,Faisalabad,Inland (Faisalabad Depot),Italy,Leather,Finished Leather,4107,48.31,126,sheets,6087.06,2023-04-13,Air,,Cash Against Documents,CIF,USD
EXP-PK-200071,INV-PK-100071,Faisalabad Textiles,Peshawar,Torkham Border (land),Germany,Agriculture,Mangoes (fresh),0804,1.74,6087,kg,10591.38,2025-02-15,Air,,Cash Against Documents,CIF,USD
EXP-PK-200072,INV-PK-100072,Sindh Agro Exports,Peshawar,Torkham Border (land),USA,Leather Goods,Footwear,6403,41.33,194,pairs,8018.02,2023-04-17,Air,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200073,INV-PK-100073,PakTex Exporters Co.,Karachi,Karachi Port,China,Tobacco,Processed Tobacco,2403,3.24,10103,kg,32733.72,2023-02-11,Land,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200074,INV-PK-100074,Karachi Seafood Ltd.,Peshawar,Torkham Border (land),UK,Spices,Chilies (dried),0904,1.26,5645,kg,7112.7,2024-03-22,Air,,Open Account,CIF,USD
EXP-PK-200075,INV-PK-100075,Karachi Seafood Ltd.,Lahore,Inland (Landi Kotal),UAE,Agriculture,Rice (Basmati),1006,2.77,4867,kg,13481.59,2023-08-10,Land,,LC (Letter of Credit),CIF,USD
EXP-PK-200076,INV-PK-100076,Balochistan Spices Co.,Hyderabad,Port Qasim,Netherlands,Leather Goods,Footwear,6403,25.94,2452,pairs,63604.88,2024-02-11,Sea,PK87607,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200077,INV-PK-100077,Sialkot Sports Exports,Lahore,Inland (Landi Kotal),Bangladesh,Industrial,Gloves (leather),4203,19.73,1217,pairs,24011.41,2023-03-26,Air,,Cash Against Documents,CIF,USD
EXP-PK-200078,INV-PK-100078,Sindh Agro Exports,Gwadar,Gwadar Port,USA,Tobacco,Processed Tobacco,2403,3.52,15256,kg,53701.12,2025-05-10,Air,,LC (Letter of Credit),CIF,USD
EXP-PK-200079,INV-PK-100079,Lahore Leatherworks,Peshawar,Torkham Border (land),UAE,Seafood,Shrimp (frozen),0306,5.14,14591,kg,74997.74,2023-12-27,Land,,Open Account,CIF,USD
EXP-PK-200080,INV-PK-100080,Punjab Pharma Exports,Hyderabad,Port Qasim,Bangladesh,Agriculture,Rice (Basmati),1006,1.42,12682,kg,18008.44,2024-10-22,Sea,PK21359,Open Account,CIF,USD
EXP-PK-200081,INV-PK-100081,Faisalabad Textiles,Peshawar,Torkham Border (land),Bangladesh,Spices,Chilies (dried),0904,4.17,10761,kg,44873.37,2025-02-15,Air,,LC (Letter of Credit),CIF,USD
EXP-PK-200082,INV-PK-100082,Lahore Leatherworks,Faisalabad,Inland (Faisalabad Depot),Italy,Sports Goods,Football,9506,4.53,4178,pcs,18926.34,2024-12-27,Air,,Open Account,CIF,USD
EXP-PK-200083,INV-PK-100083,Balochistan Spices Co.,Multan,Multan Airport,Afghanistan,Textiles,Cotton Yarn,5205,3.11,94,bales,292.34,2024-01-27,Sea,PK41635,Cash Against Documents,CIF,USD
EXP-PK-200084,INV-PK-100084,Northern Fruits Exports,Sialkot,Sialkot Airport,Italy,Carpets,Handmade Carpets,5701,68.35,2958,pcs,202179.3,2025-10-02,Air,,LC (Letter of Credit),FOB,USD
EXP-PK-200085,INV-PK-100085,Sialkot Sports Exports,Sialkot,Sialkot Airport,Netherlands,Leather Goods,Footwear,6403,84.53,92,pairs,7776.76,2024-05-13,Air,,Open Account,CIF,USD
EXP-PK-200086,INV-PK-100086,Northern Fruits Exports,Gwadar,Gwadar Port,Netherlands,Leather Goods,Footwear,6403,66.33,1140,pairs,75616.2,2024-11-08,Air,,Cash Against Documents,CIF,USD
EXP-PK-200087,INV-PK-100087,Sialkot Sports Exports,Multan,Multan Airport,China,Textiles,Bed Linen,6302,5.45,880,pcs,4796.0,2024-01-30,Air,,LC (Letter of Credit),FOB,USD
EXP-PK-200088,INV-PK-100088,Faisalabad Textiles,Sialkot,Sialkot Airport,Italy,Agriculture,Rice (Basmati),1006,2.23,7796,kg,17385.08,2024-08-02,Sea,PK35443,Open Account,FOB,USD
EXP-PK-200089,INV-PK-100089,Lahore Leatherworks,Faisalabad,Inland (Faisalabad Depot),Saudi Arabia,Textiles,Cotton Yarn,5205,7.54,69,bales,520.26,2023-09-17,Air,,LC (Letter of Credit),FOB,USD
EXP-PK-200090,INV-PK-100090,Northern Fruits Exports,Multan,Multan Airport,UAE,Carpets,Handmade Carpets,5701,203.48,576,pcs,117204.48,2025-10-02,Sea,PK11607,Open Account,CIF,USD
EXP-PK-200091,INV-PK-100091,Punjab Pharma Exports,Peshawar,Torkham Border (land),Germany,Leather,Finished Leather,4107,46.61,438,sheets,20415.18,2023-04-16,Air,,Cash Against Documents,FOB,USD
EXP-PK-200092,INV-PK-100092,Sindh Agro Exports,Hyderabad,Port Qasim,Italy,Textiles,Bed Linen,6302,2.66,3303,pcs,8785.98,2023-04-20,Sea,PK29555,Open Account,FOB,USD
EXP-PK-200093,INV-PK-100093,Faisalabad Textiles,Lahore,Inland (Landi Kotal),Afghanistan,Industrial,Gloves (leather),4203,16.53,2780,pairs,45953.4,2025-05-02,Land,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200094,INV-PK-100094,Punjab Pharma Exports,Peshawar,Torkham Border (land),Saudi Arabia,Tobacco,Processed Tobacco,2403,2.88,4912,kg,14146.56,2025-05-28,Air,,LC (Letter of Credit),FOB,USD
EXP-PK-200095,INV-PK-100095,Faisalabad Textiles,Sialkot,Sialkot Airport,Saudi Arabia,Carpets,Handmade Carpets,5701,91.9,4487,pcs,412355.3,2023-06-16,Sea,PK41439,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200096,INV-PK-100096,Karachi Seafood Ltd.,Karachi,Port Qasim,Italy,Leather Goods,Footwear,6403,109.05,3169,pairs,345579.45,2025-08-20,Air,,LC (Letter of Credit),FOB,USD
EXP-PK-200097,INV-PK-100097,Sialkot Sports Exports,Multan,Multan Airport,Italy,Textiles,Bed Linen,6302,3.24,1752,pcs,5676.48,2024-04-23,Air,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200098,INV-PK-100098,Sindh Agro Exports,Sialkot,Sialkot Airport,UAE,Chemicals,Industrial Chemicals,2815,22.0,17952,kg,394944.0,2024-06-28,Sea,PK19359,LC (Letter of Credit),FOB,USD
